id	label	parent	source
cs423	Substantival Functions	cs404	merged
cs424	Content	cs423	merged
cs425	Epexegetical	cs423	merged
cs426	Conditional Sentences		merged
cs427	In General	cs426	cheatsheet
cs428	Cause-Effect	cs427	merged
cs429	Evidence-Inference	cs427	merged
cs430	Equivalence	cs427	merged
cs431	In Greek	cs426	cheatsheet
cs432	First Class	cs431	merged
cs433	Second Class	cs431	merged
cs434	Third Class	cs431	merged
cs435	Fourth Class	cs431	merged
cs436	Volitional Clauses (Commands and Prohibitions)		merged
cs437	Commands	cs436	cheatsheet
cs438	Future Indicative	cs437	merged
cs439	Aorist Imperative	cs437	merged
cs440	Aorist Imperative: Ingressive	cs437	cheatsheet
cs441	Aorist Imperative: Momentary or Single Act / Pure Ingressive	cs437	cheatsheet
cs442	Aorist Imperative: Constative	cs437	cheatsheet
cs443	Present Imperative	cs437	merged
cs444	Present Imperative: Ingressive-Progressive	cs437	cheatsheet
cs445	Present Imperative: Customary	cs437	cheatsheet
cs446	Present Imperative: Iterative	cs437	cheatsheet
cs447	Prohibitions	cs436	cheatsheet
cs448	Future Indicative	cs447	cheatsheet
cs449	Aorist Subjunctive	cs447	merged
cs450	Aorist Subjunctive: Ingressive	cs447	cheatsheet
cs451	Aorist Subjunctive: Constative	cs447	cheatsheet
cs452	Present Imperative	cs447	cheatsheet
cs453	Present Imperative: Cessation of Activity in Progress	cs447	cheatsheet
cs454	Present Imperative: General Precept	cs447	cheatsheet
si1	absolute	cs82	subject_index
si2	address	cs82	subject_index
si3	exclamation	cs82	subject_index
si4	extent of space/time	cs82	subject_index
si5	independent	cs82	subject_index
si6	inner object see accusative case: cognate introductory	cs82	subject_index
si7	(in) invocations	cs82	subject_index
si8	manner see accusative case: adverbial measure	cs82	subject_index
si9	par excellence	cs82	subject_index
si10	participle	cs82	subject_index
si11	(passim) reference see accusative case: respect	cs82	subject_index
si12	result	cs82	subject_index
si13	space	cs82	subject_index
si14	time	cs82	subject_index
si15	unaffected	cs82	subject_index
si16	unmarked	cs82	subject_index
si17	(with) agent	cs226	subject_index
si18	active	cs151	subject_index
si19	identifying	cs151	subject_index
si20	independent	cs151	subject_index
si21	(with) nouns	cs151	subject_index
